time,w,x,y,z,wx,wy,wz,angleError
0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080
1.00000,0.72500,0.00000,0.68875,0.00000,0.00000,1.90000,0.00000,0.05127
2.00000,-0.26169,0.00000,0.96515,0.00000,0.00000,3.70500,0.00000,2.10035
3.00000,-0.99606,0.00000,0.08863,0.00000,0.00000,5.41975,0.00000,1.74828
4.00000,-0.35715,0.00000,-0.93405,0.00000,0.00000,7.04876,0.00000,0.84037
5.00000,0.82882,0.00000,-0.55952,0.00000,0.00000,8.59632,0.00000,2.75841
6.00000,0.71030,0.00000,0.70390,0.00000,0.00000,10.06651,0.00000,0.00906
7.00000,-0.57134,0.00000,0.82072,0.00000,0.00000,11.46318,0.00000,2.78706
8.00000,-0.89913,0.00000,-0.43768,0.00000,0.00000,12.79002,0.00000,0.66476
9.00000,0.30661,0.00000,-0.95184,0.00000,0.00000,14.05052,0.00000,2.19405
10.00000,0.98363,0.00000,0.18021,0.00000,0.00000,15.24800,0.00000,1.20839
11.00000,-0.05971,0.00000,0.99822,0.00000,0.00000,16.38560,0.00000,1.69029
12.00000,-0.99853,0.00000,0.05424,0.00000,0.00000,17.46632,0.00000,1.67932
13.00000,-0.16129,0.00000,-0.98691,0.00000,0.00000,18.49300,0.00000,1.24681
14.00000,0.96526,0.00000,-0.26130,0.00000,0.00000,19.46835,0.00000,2.09953
15.00000,0.35425,0.00000,0.93515,0.00000,0.00000,20.39493,0.00000,0.84656
16.00000,-0.89789,0.00000,0.44022,0.00000,0.00000,21.27519,0.00000,2.48249
17.00000,-0.51932,0.00000,-0.85458,0.00000,0.00000,22.11143,0.00000,0.47869
18.00000,0.80617,0.00000,-0.59168,0.00000,0.00000,22.90586,0.00000,2.83709
19.00000,0.65748,0.00000,0.75347,0.00000,0.00000,23.66056,0.00000,0.13585
20.00000,-0.69719,0.00000,0.71689,0.00000,0.00000,24.37753,0.00000,3.11372
21.00000,-0.77009,0.00000,-0.63794,0.00000,0.00000,25.05866,0.00000,0.18716
22.00000,0.57628,0.00000,-0.81725,0.00000,0.00000,25.70573,0.00000,2.79914
23.00000,0.85857,0.00000,0.51270,0.00000,0.00000,26.32044,0.00000,0.49413
24.00000,-0.44765,0.00000,0.89421,0.00000,0.00000,26.90442,0.00000,2.49906
25.00000,-0.92437,0.00000,-0.38150,0.00000,0.00000,27.45920,0.00000,0.78795
26.00000,0.31464,0.00000,-0.94921,0.00000,0.00000,27.98624,0.00000,2.21096
27.00000,0.96892,0.00000,0.24739,0.00000,0.00000,28.48692,0.00000,1.07082
28.00000,-0.18006,0.00000,0.98366,0.00000,0.00000,28.96258,0.00000,1.93288
29.00000,-0.99360,0.00000,-0.11291,0.00000,0.00000,29.41445,0.00000,1.34449
30.00000,0.04622,0.00000,-0.99893,0.00000,0.00000,29.84373,0.00000,1.66327
31.00000,0.99980,0.00000,-0.01978,0.00000,0.00000,30.25154,0.00000,1.61035
32.00000,0.08486,0.00000,0.99639,0.00000,0.00000,30.63896,0.00000,1.40087
33.00000,-0.98886,0.00000,0.14882,0.00000,0.00000,31.00702,0.00000,1.86954
34.00000,-0.21146,0.00000,-0.97739,0.00000,0.00000,31.35666,0.00000,1.14466
35.00000,0.96213,0.00000,-0.27261,0.00000,0.00000,31.68883,0.00000,2.12300
36.00000,0.33208,0.00000,0.94325,0.00000,0.00000,32.00439,0.00000,0.89378
37.00000,-0.92093,0.00000,0.38973,0.00000,0.00000,32.30417,0.00000,2.37148
38.00000,-0.44541,0.00000,-0.89532,0.00000,0.00000,32.58896,0.00000,0.64752
39.00000,0.86661,0.00000,-0.49898,0.00000,0.00000,32.85951,0.00000,2.61565
40.00000,0.55032,0.00000,0.83495,0.00000,0.00000,33.11654,0.00000,0.40530
41.00000,-0.80053,0.00000,0.59930,0.00000,0.00000,33.36071,0.00000,2.85605
42.00000,-0.64582,0.00000,-0.76349,0.00000,0.00000,33.59268,0.00000,0.16661
43.00000,0.72403,0.00000,-0.68977,0.00000,0.00000,33.81304,0.00000,3.09314
44.00000,0.73107,0.00000,0.68230,0.00000,0.00000,34.02239,0.00000,0.06898
45.00000,-0.63849,0.00000,0.76963,0.00000,0.00000,34.22127,0.00000,2.95586
46.00000,-0.80538,0.00000,-0.59275,0.00000,0.00000,34.41021,0.00000,0.30185
47.00000,0.54527,0.00000,-0.83826,0.00000,0.00000,34.58970,0.00000,2.72423
48.00000,0.86819,0.00000,0.49622,0.00000,0.00000,34.76021,0.00000,0.53231
49.00000,-0.44577,0.00000,0.89515,0.00000,0.00000,34.92220,0.00000,2.49487
50.00000,-0.91907,0.00000,-0.39409,0.00000,0.00000,35.07609,0.00000,0.76064
51.00000,0.34135,0.00000,-0.93993,0.00000,0.00000,35.22229,0.00000,2.26751
52.00000,0.95771,0.00000,0.28773,0.00000,0.00000,35.36117,0.00000,0.98708
53.00000,-0.23340,0.00000,0.97238,0.00000,0.00000,35.49311,0.00000,2.04193
54.00000,-0.98394,0.00000,-0.17851,0.00000,0.00000,35.61846,0.00000,1.21184
55.00000,0.12326,0.00000,-0.99237,0.00000,0.00000,35.73753,0.00000,1.81794
56.00000,0.99770,0.00000,0.06779,0.00000,0.00000,35.85066,0.00000,1.43511
57.00000,-0.01228,0.00000,0.99992,0.00000,0.00000,35.95813,0.00000,1.59536
58.00000,-0.99907,0.00000,0.04311,0.00000,0.00000,36.06022,0.00000,1.65705
59.00000,-0.09823,0.00000,-0.99516,0.00000,0.00000,36.15721,0.00000,1.37403
60.00000,0.98824,0.00000,-0.15290,0.00000,0.00000,36.24935,0.00000,1.87780
61.00000,0.20698,0.00000,0.97835,0.00000,0.00000,36.33688,0.00000,1.15382
62.00000,-0.96552,0.00000,0.26031,0.00000,0.00000,36.42004,0.00000,2.09749
63.00000,-0.31275,0.00000,-0.94984,0.00000,0.00000,36.49903,0.00000,0.93462
64.00000,0.93134,0.00000,-0.36415,0.00000,0.00000,36.57408,0.00000,2.31623
65.00000,0.41436,0.00000,0.91011,0.00000,0.00000,36.64538,0.00000,0.71632
66.00000,-0.88623,0.00000,0.46325,0.00000,0.00000,36.71311,0.00000,2.53412
67.00000,-0.51069,0.00000,-0.85976,0.00000,0.00000,36.77745,0.00000,0.49882
68.00000,0.83081,0.00000,-0.55655,0.00000,0.00000,36.83858,0.00000,2.75125
69.00000,0.60070,0.00000,0.79947,0.00000,0.00000,36.89665,0.00000,0.28204
70.00000,-0.76584,0.00000,0.64303,0.00000,0.00000,36.95182,0.00000,2.96770
71.00000,-0.68343,0.00000,-0.73002,0.00000,0.00000,37.00423,0.00000,0.06590
72.00000,0.69212,0.00000,-0.72178,0.00000,0.00000,37.05402,0.00000,3.09965
73.00000,0.75799,0.00000,0.65227,0.00000,0.00000,37.10132,0.00000,0.14965
74.00000,-0.61057,0.00000,0.79196,0.00000,0.00000,37.14625,0.00000,2.88436
75.00000,-0.82361,0.00000,-0.56716,0.00000,0.00000,37.18894,0.00000,0.36469
76.00000,0.52216,0.00000,-0.85285,0.00000,0.00000,37.22949,0.00000,2.66957
77.00000,0.87960,0.00000,0.47571,0.00000,0.00000,37.26802,0.00000,0.57925
78.00000,-0.42794,0.00000,0.90381,0.00000,0.00000,37.30462,0.00000,2.45522
79.00000,-0.92540,0.00000,-0.37898,0.00000,0.00000,37.33939,0.00000,0.79340
80.00000,0.32899,0.00000,-0.94433,0.00000,0.00000,37.37242,0.00000,2.24126
81.00000,0.96055,0.00000,0.27810,0.00000,0.00000,37.40379,0.00000,1.00717
82.00000,-0.22646,0.00000,0.97402,0.00000,0.00000,37.43361,0.00000,2.02767
83.00000,-0.98471,0.00000,-0.17421,0.00000,0.00000,37.46192,0.00000,1.22060
84.00000,0.12150,0.00000,-0.99259,0.00000,0.00000,37.48883,0.00000,1.81440
85.00000,0.99765,0.00000,0.06849,0.00000,0.00000,37.51439,0.00000,1.43372
86.00000,-0.01531,0.00000,0.99988,0.00000,0.00000,37.53867,0.00000,1.60142
87.00000,-0.99928,0.00000,0.03788,0.00000,0.00000,37.56173,0.00000,1.64657
88.00000,-0.09092,0.00000,-0.99586,0.00000,0.00000,37.58365,0.00000,1.38870
89.00000,0.98962,0.00000,-0.14368,0.00000,0.00000,37.60447,0.00000,1.85916
90.00000,0.19601,0.00000,0.98060,0.00000,0.00000,37.62424,0.00000,1.17621
91.00000,-0.96882,0.00000,0.24776,0.00000,0.00000,37.64303,0.00000,2.07154
92.00000,-0.29879,0.00000,-0.95432,0.00000,0.00000,37.66088,0.00000,0.96394
93.00000,0.93714,0.00000,-0.34896,0.00000,0.00000,37.67783,0.00000,2.28372
94.00000,0.39812,0.00000,0.91733,0.00000,0.00000,37.69394,0.00000,0.75186
95.00000,-0.89496,0.00000,0.44615,0.00000,0.00000,37.70925,0.00000,2.49571
96.00000,-0.49290,0.00000,-0.87008,0.00000,0.00000,37.72378,0.00000,0.53995
97.00000,0.84278,0.00000,-0.53826,0.00000,0.00000,37.73759,0.00000,2.70754
98.00000,0.58209,0.00000,0.81312,0.00000,0.00000,37.75071,0.00000,0.32819
99.00000,-0.78120,0.00000,0.62428,0.00000,0.00000,37.76318,0.00000,2.91922
100.00000,-0.66471,0.00000,-0.74710,0.00000,0.00000,37.77502,0.00000,0.11658
101.00000,0.71092,0.00000,-0.70327,0.00000,0.00000,37.78627,0.00000,3.13077
102.00000,0.73985,0.00000,0.67277,0.00000,0.00000,37.79696,0.00000,0.09491
103.00000,-0.63274,0.00000,0.77436,0.00000,0.00000,37.80711,0.00000,2.94098
104.00000,-0.80670,0.00000,-0.59096,0.00000,0.00000,37.81675,0.00000,0.30629
105.00000,0.54755,0.00000,-0.83678,0.00000,0.00000,37.82591,0.00000,2.72965
106.00000,0.86451,0.00000,0.50261,0.00000,0.00000,37.83462,0.00000,0.51756
107.00000,-0.45628,0.00000,0.88983,0.00000,0.00000,37.84289,0.00000,2.51843
108.00000,-0.91267,0.00000,-0.40870,0.00000,0.00000,37.85074,0.00000,0.72874
109.00000,0.35998,0.00000,-0.93296,0.00000,0.00000,37.85821,0.00000,2.30729
110.00000,0.95065,0.00000,0.31027,0.00000,0.00000,37.86530,0.00000,0.93984
111.00000,-0.25970,0.00000,0.96569,0.00000,0.00000,37.87203,0.00000,2.09623
112.00000,-0.97804,0.00000,-0.20843,0.00000,0.00000,37.87843,0.00000,1.15087
113.00000,0.15657,0.00000,-0.98767,0.00000,0.00000,37.88451,0.00000,1.88524
114.00000,0.99455,0.00000,0.10430,0.00000,0.00000,37.89028,0.00000,1.36182
115.00000,-0.05174,0.00000,0.99866,0.00000,0.00000,37.89577,0.00000,1.67431
116.00000,-1.00000,0.00000,0.00096,0.00000,0.00000,37.90098,0.00000,1.57272
117.00000,-0.05365,0.00000,-0.99856,0.00000,0.00000,37.90593,0.00000,1.46345
118.00000,0.99435,0.00000,-0.10618,0.00000,0.00000,37.91063,0.00000,1.78356
119.00000,0.15841,0.00000,0.98737,0.00000,0.00000,37.91510,0.00000,1.25263
120.00000,-0.97766,0.00000,0.21020,0.00000,0.00000,37.91935,0.00000,1.99435
121.00000,-0.26139,0.00000,-0.96523,0.00000,0.00000,37.92338,0.00000,1.04186
122.00000,0.95013,0.00000,-0.31186,0.00000,0.00000,37.92721,0.00000,2.20510
123.00000,0.36146,0.00000,0.93239,0.00000,0.00000,37.93085,0.00000,0.83114
124.00000,-0.91207,0.00000,0.41004,0.00000,0.00000,37.93431,0.00000,2.41580
125.00000,-0.45749,0.00000,-0.88921,0.00000,0.00000,37.93759,0.00000,0.62045
126.00000,0.86390,0.00000,-0.50367,0.00000,0.00000,37.94071,0.00000,2.62647
127.00000,0.54844,0.00000,0.83619,0.00000,0.00000,37.94368,0.00000,0.40980
128.00000,-0.80616,0.00000,0.59169,0.00000,0.00000,37.94649,0.00000,2.83711
129.00000,-0.63330,0.00000,-0.77391,0.00000,0.00000,37.94917,0.00000,0.19918
130.00000,0.73951,0.00000,-0.67315,0.00000,0.00000,37.95171,0.00000,3.04771
131.00000,0.71113,0.00000,0.70306,0.00000,0.00000,37.95413,0.00000,0.01141
132.00000,-0.66467,0.00000,0.74714,0.00000,0.00000,37.95642,0.00000,3.02489
133.00000,-0.78108,0.00000,-0.62444,0.00000,0.00000,37.95860,0.00000,0.22198
134.00000,0.58248,0.00000,-0.81285,0.00000,0.00000,37.96067,0.00000,2.81434
135.00000,0.84237,0.00000,0.53890,0.00000,0.00000,37.96263,0.00000,0.43252
136.00000,-0.49384,0.00000,0.86955,0.00000,0.00000,37.96450,0.00000,2.60380
137.00000,-0.89433,0.00000,-0.44742,0.00000,0.00000,37.96628,0.00000,0.64305
138.00000,0.39975,0.00000,-0.91662,0.00000,0.00000,37.96796,0.00000,2.39329
139.00000,0.93638,0.00000,0.35098,0.00000,0.00000,37.96957,0.00000,0.85355
140.00000,-0.30125,0.00000,0.95355,0.00000,0.00000,37.97109,0.00000,2.18279
141.00000,-0.96807,0.00000,-0.25068,0.00000,0.00000,37.97253,0.00000,1.06404
142.00000,0.19941,0.00000,-0.97992,0.00000,0.00000,37.97391,0.00000,1.97231
143.00000,0.98905,0.00000,0.14760,0.00000,0.00000,37.97521,0.00000,1.27451
144.00000,-0.09538,0.00000,0.99544,0.00000,0.00000,37.97645,0.00000,1.76185
145.00000,-0.99908,0.00000,-0.04290,0.00000,0.00000,37.97763,0.00000,1.48497
146.00000,-0.00970,0.00000,-0.99995,0.00000,0.00000,37.97875,0.00000,1.55139
147.00000,0.99806,0.00000,-0.06227,0.00000,0.00000,37.97981,0.00000,1.69542
148.00000,0.11467,0.00000,0.99340,0.00000,0.00000,37.98082,0.00000,1.34095
149.00000,-0.98600,0.00000,0.16675,0.00000,0.00000,37.98178,0.00000,1.90586
150.00000,-0.21836,0.00000,-0.97587,0.00000,0.00000,37.98269,0.00000,1.13052
